PEARLL Teacher Professional Development Survey Pilot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Respondent ID,Collector ID,Start Date,End Date,IP Address,What language(s) do you teach? Please select all that apply.,,,,,,,,,,What is your native language? Please select all that apply.,,,,,,,,,,At what level(s) do you teach? Please select all that apply.,,,,,,,,,What state do you live in?,,"Do you hold a US state certification, license, or teaching credential to teach a world language?",How many years of independent classroom teaching experience do you have?,"Are you a program leader (curriculum coordinator/director, department head/chair, specialist, etc.)?","If you teach K-12 classes, which best describes the school in which you teach?","If you teach K-12 classes, which of the following best describes the school in which you teach?",What is the highest degree that you've earned?,In what discipline or subject area is your highest degree?,,,,,,,,,,,,,,,,In what country did you attend K-12 school/s?,In what country did you complete your highest degree?,"If you have received higher education from an institution outside of the US, are you qualified to teach in a K-12 setting in that country?",What is your cultural or ethnic background? Please select all that apply.,,,,,,,Which age group do you belong to?,What is your gender?,Please indicate the extent to which you are familiar with the TELL (Teacher Effectiveness for Language Learning) Framework.	
,,,,,Arabic,French,German,Italian,Latin,Mandarin,Portuguese,Russian,Spanish,Other (please specify):,Arabic,English,French,German,Italian,Mandarin,Portuguese,Russian,Spanish,Other (please specify):,Pre-School,Elementary (K-5),Middle School (6-8),High School (9-12),College or University,Adult (Continuing Education),I am currently retired and am no longer teaching.,I am a student and am not yet teaching.,I am the program leader and do not actively teach.,Response,Other (please specify),Response,Response,Response,Response,Response,Response,Business,Computer science,Curriculum and instruction,Economics,Education,Educational leadership or administration,Elementary education,Secondary education,"A STEM field (science, technology, engineering, or math)",English language arts or literature,TESOL or bilingual education,Foreign language or literature (other than English),History,Linguistics or applied linguistics,Second language acquisition,Other (please specify),Response,Response,Response,American Indian or Alaska Native,Black or African American,Hispanic or Latino/a,Middle Eastern or North African,Native Hawaiian or other Pacific Islander,White,Other (please specify),Response,Response,Response
11082533072,246623118,10/21/2019 07:56:19 PM,10/21/2019 08:11:25 PM,173.67.21.41,,,,,,,,,Spanish,,,,,,,,,,Spanish,,,,,,College or University,,,,,MD Maryland,,"No, and I do not need to become certified for my career path.",15-25 years,Yes,I do not currently teach in a K-12 school.,I am not currently a classroom teacher.,Master's degree,,,,,,,,,,,,,,,Second language acquisition,,Outside of the United States,United States,Does not apply,,,Hispanic or Latino/a,,,,,40-49 years,Female,Somewhat familiar
11081670453,246623118,10/21/2019 02:14:20 PM,10/21/2019 02:28:13 PM,192.203.137.223,,,,,,,,,,Korean,,,,,,,,,,Korean,,,,,College or University,,,,,IL Illinois,,"No, and I do not need to become certified for my career path.",1-3 years,No,I do not currently teach in a K-12 school.,I am not currently a classroom teacher.,Master's degree,,,,,,,,,,,,,,Linguistics or applied linguistics,,,Outside of the United States,United States,Does not apply,,,,,,,Asian,30-39 years,Female,Somewhat familiar
11079432322,246623118,10/20/2019 04:17:19 PM,10/20/2019 04:23:03 PM,96.33.122.2,,,,,,Mandarin,,,,,,English,,,,,,,,,,,Middle School (6-8),High School (9-12),,,,,,TN Tennessee,,"No, and I do not need to become certified for my career path.",8-15 years,No,Private School,Rural,Master's degree,,,,,,,,,,,,,,,Second language acquisition,,United States,Outside of the United States,Yes,,,,,,White,,30-39 years,Male,Somewhat familiar
11078402149,246623118,10/19/2019 07:26:43 PM,10/19/2019 08:24:17 PM,107.77.192.229,Arabic,,,,,,,,,English too,Arabic,,,,,,,,,,Pre-School,Elementary (K-5),,,,Adult (Continuing Education),,,,MI Michigan,,I am in the process of becoming certified.,15-25 years,No,Public School,I am not currently a classroom teacher.,Associate's or vocational (2-year) degree,,,,,,,,,,,,,,,,Early childhood ,Outside of the United States,United States,Does not apply,,,,,,,Caucasian ,50-59 years,Female,Somewhat familiar
11078171603,246623118,10/19/2019 03:03:47 PM,10/19/2019 03:18:27 PM,72.229.179.198,,,,,,,,,,Hindi ,,,,,,,,,,Hindi,,,,High School (9-12),,,,,,NY New York,,"Not yet, but I plan to become certified.",8-15 years,No,Public School,Rural,Associate's or vocational (2-year) degree,,,,,Education,,,,,,,,,,,,United States,Outside of the United States,Yes,,,,,,,Hindu,50-59 years,Female,Somewhat familiar
11076332917,246623118,10/18/2019 01:27:52 PM,10/18/2019 01:49:47 PM,206.78.148.254,,,,,,Mandarin,,,,,,,,,,Mandarin,,,,,,Elementary (K-5),Middle School (6-8),,,,,,,CA California,,"Not yet, but I plan to become certified.",15-25 years,Yes,I do not currently teach in a K-12 school.,I am not currently a classroom teacher.,Associate's or vocational (2-year) degree,,,,,,,Elementary education,,,,,Foreign language or literature (other than English),,,,Music,Outside of the United States,Outside of the United States,Yes,,,,,,,Asian,40-49 years,Female,Not at all familiar
11074640217,246623118,10/17/2019 09:40:19 PM,10/17/2019 10:02:14 PM,100.34.88.73,,,,,,,Portuguese,,,,,,,,,,Portuguese,,,,,,,,College or University,,,,,PA Pennsylvania,,"No, and I do not need to become certified for my career path.",4-7 years,No,I do not currently teach in a K-12 school.,I am not currently a classroom teacher.,Master's degree,,,,,,,,,,,TESOL or bilingual education,,,,,,Outside of the United States,United States,Yes,,,,,,White,,40-49 years,Female,Not at all familiar
11074632761,246623118,10/17/2019 09:35:26 PM,10/17/2019 10:11:57 PM,117.131.219.17,,,,,,Mandarin,,,,,,,,,,Mandarin,,,,,,,,,College or University,Adult (Continuing Education),,,,CO Colorado,,I am in the process of becoming certified.,4-7 years,No,Private School,Urban,Master's degree,,,,,Education,,,,,,TESOL or bilingual education,,,,,,Combination of the United States and outside of the United States,Outside of the United States,Yes,,,,,,,Aisa,30-39 years,Female,Very familiar
11074573546,246623118,10/17/2019 08:59:17 PM,10/17/2019 09:22:19 PM,69.202.192.54,,,,,,Mandarin,,,,,,,,,,Mandarin,,,,,Pre-School,Elementary (K-5),Middle School (6-8),High School (9-12),,,,,,NY New York,,I am in the process of becoming certified.,1-3 years,No,Private School,Urban,Master's degree,,,,,,,,Secondary education,,,,,,,Second language acquisition,,United States,United States,No,,,,,,,Asia,50-59 years,Female,Very familiar
