PEARLL Teacher Professional Development Survey Pilot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Respondent ID,Collector ID,Start Date,End Date,IP Address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,PF1a_Contributes,PF1a_Confidence,PF1b_Contributes,PF1b_Confidence,PF1c_Contributes,PF1c_Confidence,PF1d_Contributes,PF1d_Confidence,PF1e_Contributes,PF1e_Confidence,PF2a_Contributes,PF2a_Confidence,PF2b_Contributes,PF2b_Confidence,PF2c_Contributes,PF2c_Confidence,PF2d_Contributes,PF2d_Confidence,PF2e_Contributes,PF2e_Confidence,PF3a_Contributes,PF3a_Confidence,PF3b_Contributes,PF3b_Confidence,PF3c_Contributes,PF3c_Confidence,PF3d_Contributes,PF3d_Confidence,PF3e_Contributes,PF3e_Confidence,PF4a_Contributes,PF4a_Confidence,PF4b_Contributes,PF4b_Confidence,PF5a_Contributes,PF5a_Confidence,PF5b_Contributes,PF5b_Confidence,PF5c_Contributes,PF5c_Confidence
11082533072,246623118,10/21/2019 07:56:19 PM,10/21/2019 08:11:25 PM,173.67.21.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11081670453,246623118,10/21/2019 02:14:20 PM,10/21/2019 02:28:13 PM,192.203.137.223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11079432322,246623118,10/20/2019 04:17:19 PM,10/20/2019 04:23:03 PM,96.33.122.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11078402149,246623118,10/19/2019 07:26:43 PM,10/19/2019 08:24:17 PM,107.77.192.229,Agree,,Agree,,Agree,,Strongly Agree,,Agree,,Agree,,Agree,,Agree,,Agree,,Agree,,Agree,,Agree,,Agree,,Strongly Agree,,Agree,,Agree,,Agree,,Strongly Agree,,Agree,,Neutral,
11078171603,246623118,10/19/2019 03:03:47 PM,10/19/2019 03:18:27 PM,72.229.179.198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11076332917,246623118,10/18/2019 01:27:52 PM,10/18/2019 01:49:47 PM,206.78.148.254,Neutral,,Agree,,Neutral,,Agree,,Neutral,,Agree,,Agree,,Agree,,Agree,,Neutral,,Agree,,Agree,,Neutral,,Agree,,Agree,,Neutral,,Neutral,,Agree,,Neutral,,Neutral,
11074640217,246623118,10/17/2019 09:40:19 PM,10/17/2019 10:02:14 PM,100.34.88.73,,,Strongly Agree,Confident,,,,,,,,,,,Strongly Agree,Very Confident,,,Strongly Agree,Neutral,Agree,Neutral,,,,,Strongly Agree,Very Confident,Strongly Agree,Very Confident,,,Agree,Confident,,,,,,
11074632761,246623118,10/17/2019 09:35:26 PM,10/17/2019 10:11:57 PM,117.131.219.17,Strongly Agree,Confident,Strongly Agree,Confident,Strongly Agree,Confident,Strongly Agree,Confident,Strongly Agree,Confident,Strongly Agree,Confident,Strongly Agree,Confident,Strongly Agree,Confident,Strongly Agree,Confident,Strongly Agree,Very Confident,Strongly Agree,Confident,Strongly Agree,Confident,Strongly Agree,Confident,Strongly Agree,Confident,Strongly Agree,Very Confident,Strongly Agree,Confident,Strongly Agree,Confident,Strongly Agree,Confident,Strongly Agree,Confident,Strongly Agree,Very Confident
11074573546,246623118,10/17/2019 08:59:17 PM,10/17/2019 09:22:19 PM,69.202.192.54,Strongly Agree,Very Confident,Agree,Very Confident,Strongly Agree,Confident,Strongly Agree,Confident,Strongly Agree,Very Confident,Strongly Agree,Confident,Agree,Confident,Strongly Agree,Confident,Strongly Agree,Confident,Strongly Agree,Confident,Strongly Agree,Very Confident,Strongly Agree,Confident,Strongly Agree,Very Confident,Strongly Agree,Confident,Strongly Agree,Confident,Agree,Confident,Strongly Agree,Confident,Agree,Very Confident,Strongly Agree,Confident,Agree,Confident
11074536954,246623118,10/17/2019 08:36:17 PM,10/17/2019 08:48:13 PM,163.23.70.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
